sample_id,psnr,ssim,nrmse,file_idx,local_idx
0,18.078007,0.15844562770149365,0.12476698,0,0
1,20.063644,0.40928390945833387,0.09926995,0,1
2,18.480883,0.3454016329571497,0.119112104,0,2
3,13.310204,0.19708826491511788,0.21601796,0,3
4,20.3845,0.45638605854871234,0.09566984,0,4
5,18.439165,0.2775277511201492,0.11968555,0,5
6,22.024738,0.5106140219522994,0.079206906,0,6
7,17.58377,0.3197758408035802,0.13207223,0,7
8,20.46406,0.34411727136769776,0.09479753,0,8
9,20.41912,0.43227569834967655,0.09528927,0,9
10,18.848078,0.34528443106469037,0.11418161,0,10
